Age group (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
0–4,"475,888","387,304","309,013","96,822","168,628","28,669","17,434","26,149"
5–9,"498,965","410,490","333,435","104,468","185,718","30,935","18,086","28,170"
10–14,"520,213","416,608","359,697","110,329","187,472","33,140","17,682","28,836"
15–19,"515,115","414,437","360,520","111,318","181,791","33,927","15,916","28,639"
20–24,"564,670","468,193","363,528","116,912","186,828","29,357","18,555","39,804"
25–29,"621,039","525,594","393,565","130,325","220,174","37,171","23,913","41,569"
30–34,"628,957","543,669","398,085","131,046","226,294","40,885","25,539","42,386"
35–39,"609,962","531,853","387,426","128,105","228,824","37,217","22,397","38,358"
40–44,"573,179","483,790","373,451","120,371","211,251","34,250","18,994","35,627"
45–49,"505,631","416,984","338,251","107,703","181,816","32,074","16,010","29,421"
50–54,"522,032","425,558","358,804","116,382","185,879","36,245","15,780","28,191"
55–59,"471,157","385,869","320,209","112,543","169,990","35,758","13,894","23,664"
60–64,"484,474","376,207","319,683","116,081","163,802","39,529","12,104","21,688"
65 and older,"1,500,889","1,164,267","956,008","379,770","479,443","125,589","24,543","65,946"
65-69,"430,532","335,138","279,929","106,010","142,860","36,412","9,327","18,509"
70–74,"371,036","287,351","244,048","94,469","121,142","32,285","6,841","16,727"
75–79,"309,256","237,883","202,447","79,627","97,708","26,339","4,477","14,186"
80–84,"197,365","152,833","123,125","49,883","60,665","16,331","2,415","8,629"
85–89,"119,423","93,387","67,666","30,388","36,070","9,155",975,"4,974"
90–94,"54,619","43,064","29,119","14,258","15,780","3,933",372,"2,245"
95–99,"16,464","13,036","8,580","4,525","4,565","1,019",112,579
100 and over,"2,194","1,575","1,094",610,653,115,24,97
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
