Age,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
10–14 years,2054,972,1519,190,981,143,101,44
15–17 years,3542,1389,1903,351,909,220,122,62
18–19 years,1645,581,1307,226,531,118,138,38
20–24 years,3587,1591,2812,638,1290,246,328,74
25–29 years,3214,1707,2725,808,1379,254,378,67
30–34 years,3171,1835,2794,900,1522,257,398,78
35–39 years,2948,1545,2529,936,1441,229,348,71
40–44 years,2660,1407,2201,706,1101,196,256,39
45–49 years,1956,1075,1543,517,834,133,176,30
50–54 years,1538,775,1106,362,560,94,122,25
55–59 years,851,448,520,175,254,62,64,14
60–64 years,486,219,306,77,115,36,30,9
65 years and over,520,259,348,62,91,46,24,5
