Principal offence,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
Homicide and related offences,267,127,127,20,97,9,18,11
Acts intended to cause injury,"38,453","17,576","14,436","5,877","10,098","2,197","2,709",919
Sexual assault and related offences,"2,872","1,762","2,762",418,"1,437",135,66,135
Dangerous/negligent acts,86,772,878,35,168,4,48,11
Abduction/harassment,"1,079","1,002",63,125,"1,319",18,62,43
Robbery/extortion,749,707,"1,200",185,789,125,175,39
Unlawful entry with intent,"2,016","1,609","3,830",911,"2,162",167,315,92
Theft(m)(n),"8,422","7,034","11,307","1,543","5,172",963,269,212
Fare evasion,"20,096","1,098",227,185,0,0,0,0
Fraud/deception,"2,823","2,194","1,689",117,"1,513",239,41,51
Illicit drug offences,"10,985","7,472","14,269","7,842","5,677",838,869,255
Weapons/explosives,"3,991","5,033","1,933","1,260","1,666",454,342,129
Property damage and environmental pollution,"3,706","3,000","3,786",646,"1,678",464,196,111
Public order offences,"9,584","3,331","9,526","3,772","2,641",742,"2,454",254
Offences against justice,"5,800","5,740","11,938","1,209","4,423",699,"1,056",241
Miscellaneous offences,"4,861","3,078",199,604,418,587,87,32
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
