,Male,Female,
Homicide and related offences,11,0,
Acts intended to cause injury,669,247,
Sexual assault and related offences,130,3,
Dangerous/negligent acts,5,4,
Abduction/harassment,43,4,
Robbery/extortion,33,6,
Unlawful entry with intent,80,14,
Theft,145,60,
Fare evasion,0,0,
Fraud/deception,35,17,
Illicit drug offences,217,38,
Weapons/explosives,111,22,
Property damage and environmental pollution,88,27,
Public order offences,193,63,
Offences against justice,200,44,
Miscellaneous offences,28,3,
total,"1,981",563,
