,Male,Female
Homicide and related offences,16,0
Acts intended to cause injury,"2,072",630
Sexual assault and related offences,65,0
Dangerous/negligent acts,42,10
Abduction/harassment,52,9
Robbery/extortion,130,48
Unlawful entry with intent,251,59
Theft,201,74
Fare evasion,0,0
Fraud/deception,17,17
Illicit drug offences,592,278
Weapons/explosives,291,47
Property damage and environmental pollution,129,67
Public order offences,"1,448",997
Offences against justice,813,247
Miscellaneous offences,64,19
total,"6,174","2,495"
