,Male,Female
Homicide and related offences,226,36
Acts intended to cause injury,"28,226","10,207"
Sexual assault and related offences,"2,691",179
Dangerous/negligent acts,66,18
Abduction/harassment,854,221
Robbery/extortion,639,108
Unlawful entry with intent,"1,674",337
Theft,"5,220","3,193"
Fare evasion,"14,551","5,426"
Fraud/deception,"1,932",886
Illicit drug offences,"8,760","2,213"
Weapons/explosives,"3,461",527
Property damage and environmental pollution,"2,821",881
Public order offences,"7,372","2,173"
Offences against justice,"4,491","1,293"
Miscellaneous offences,"4,377",468
total,"87,479","28,192"
