,Male,Female
Homicide and related offences,103,24
Acts intended to cause injury,"10,207","4,214"
Sexual assault and related offences,"2,493",269
Dangerous/negligent acts,665,215
Abduction/harassment,52,9
Robbery/extortion,925,277
Unlawful entry with intent,"3,053",773
Theft,"6,563","4,740"
Fare evasion,170,52
Fraud/deception,"1,037",649
Illicit drug offences,"10,124","4,127"
Weapons/explosives,"1,602",334
Property damage and environmental pollution,"2,998",785
Public order offences,"7,268","2,236"
Offences against justice,"9,585","2,350"
Miscellaneous offences,126,73
total,"58,626","21,604"
