,Male,Female
Homicide and related offences,15,3
Acts intended to cause injury,"4,517","1,358"
Sexual assault and related offences,394,22
Dangerous/negligent acts,26,12
Abduction/harassment,105,17
Robbery/extortion,144,45
Unlawful entry with intent,738,172
Theft,951,588
Fare evasion,143,39
Fraud/deception,79,37
Illicit drug offences,"5,911","1,927"
Weapons/explosives,"1,084",177
Property damage and environmental pollution,485,162
Public order offences,"2,690","1,059"
Offences against justice,971,236
Miscellaneous offences,483,112
total,"18,747","5,958"
