,Male,Female
Homicide and related offences,13,0
Acts intended to cause injury,"1,564",631
Sexual assault and related offences,125,6
Dangerous/negligent acts,4,0
Abduction/harassment,11,0
Robbery/extortion,95,31
Unlawful entry with intent,136,28
Theft,539,420
Fare evasion,0,0
Fraud/deception,140,93
Illicit drug offences,612,227
Weapons/explosives,374,81
Property damage and environmental pollution,357,104
Public order offences,527,205
Offences against justice,544,147
Miscellaneous offences,520,64
total,"5,563","2,039"
