,Male,Female
Homicide and related offences,110,13
Acts intended to cause injury,"13,641","3,930"
Sexual assault and related offences,"1,649",115
Dangerous/negligent acts,675,100
Abduction/harassment,807,194
Robbery/extortion,616,90
Unlawful entry with intent,"1,274",338
Theft,"4,217","2,812"
Fare evasion,921,180
Fraud/deception,"1,519",668
Illicit drug offences,"5,625","1,852"
Weapons/explosives,"4,320",716
Property damage and environmental pollution,"2,351",654
Public order offences,"2,746",584
Offences against justice,"4,623","1,119"
Miscellaneous offences,"2,644",433
total,"47,752","13,809"
