,Male,Female
Homicide and related offences,75,17
Acts intended to cause injury,"7,295","2,753"
Sexual assault and related offences,"1,345",84
Dangerous/negligent acts,125,43
Abduction/harassment,"1,060",253
Robbery/extortion,627,166
Unlawful entry with intent,"1,665",473
Theft,"2,798","2,346"
Fare evasion,0,0
Fraud/deception,915,583
Illicit drug offences,"3,974","1,688"
Weapons/explosives,"1,383",272
Property damage and environmental pollution,"1,251",414
Public order offences,"1,891",738
Offences against justice,"3,372","1,041"
Miscellaneous offences,300,121
total,"28,103","11,013"
